Sending,Receiving,Gender,Cycle,Domain,Session
AT,NO,F,2,1,1
AT,NO,F,2,1,2
AT,NO,M,2,1,1
AT,IE,F,2,1,2
AT,ES,F,2,1,1
AT,IE,F,2,1,2
AT,IE,F,2,1,2
AT,IE,F,2,1,1
AT,ES,F,2,1,2
AT,NO,F,2,1,3
AT,SE,F,2,1,3
AT,SE,F,2,1,3
AT,IE,F,2,1,3
AT,IE,F,2,1,3
AT,IE,F,1,1,3
AT,ES,F,2,1,3
AT,DE,F,2,1,3
AT,IE,F,1,3,2
AT,SE,M,1,3,2
AT,NL,M,1,5,2
AT,PL,M,1,3,2
AT,NO,M,2,5,2
AT,NO,F,1,5,2
AT,TR,F,1,3,2
AT,SE,M,1,3,2
AT,NO,M,1,5,2
AT,BE,M,1,3,2
AT,NL,M,1,5,2
AT,SE,M,1,5,2
AT,NO,M,1,5,2
AT,NO,M,2,5,2
AT,NO,M,1,5,2
AT,NO,M,1,5,2
AT,BE,M,1,3,2
AT,SE,F,1,3,2
AT,SE,F,1,3,2
AT,IE,F,1,3,2
AT,TR,F,1,3,2
AT,ES,F,1,3,2
AT,TR,F,1,3,2
AT,DK,M,1,3,3
AT,IT,F,1,7,3
AT,FI,F,1,3,3
AT,CZ,F,1,4,3
AT,NL,M,1,4,3
AT,DE,F,1,7,3
AT,PL,M,1,3,3
AT,PT,M,1,3,3
AT,NL,M,1,4,3
AT,TR,F,1,3,3
AT,FI,F,1,3,3
AT,CH,M,1,7,3
AT,NL,M,1,3,3
AT,NL,M,1,3,3
AT,SI,F,1,7,3
AT,NL,F,1,4,3
AT,DE,F,1,3,3
AT,NL,M,1,3,3
AT,FI,M,1,3,3
AT,NL,M,1,4,3
AT,TR,M,1,4,3
AT,TR,M,1,3,3
AT,DE,F,1,3,3
AT,ES,F,1,7,3
AT,TR,M,1,4,3
AT,SI,M,1,7,3
AT,CH,F,1,7,3
AT,NL,M,1,4,3
AT,CZ,F,1,4,3
AT,PT,M,1,3,3
AT,TR,M,1,4,3
AT,NO,M,1,3,3
AT,DE,F,1,7,3
AT,DK,M,1,3,3
AT,PT,F,1,3,3
AT,ES,M,1,7,3
AT,DE,M,1,7,3
AT,FI,M,1,4,3
AT,PT,F,1,3,3
AT,NL,M,1,3,3
